# ibin, ilens, itom, ibin, theta[deg]
108 2 3  3  0.016
109 2 3  4  0.025
110 2 3  5  0.040
111 2 3  6  0.063
112 2 3  7  0.100
113 2 3  8  0.158
114 2 3  9  0.251
115 2 3 10  0.397
116 2 3 11  0.629
117 2 3 12  0.998
118 2 3 13  1.581
119 2 3 14  2.506
120 2 3 15  3.972
121 2 4  1  0.006
122 2 4  2  0.010
123 2 4  3  0.016
124 2 4  4  0.025
125 2 4  5  0.040
126 2 4  6  0.063
127 2 4  7  0.100
128 2 4  8  0.158
129 2 4  9  0.251
130 2 4 10  0.397
131 2 4 11  0.629
132 2 4 12  0.998
133 2 4 13  1.581
134 2 4 14  2.506
135 2 4 15  3.972
136 2 5  1  0.006
137 2 5  2  0.010
138 2 5  3  0.016
139 2 5  4  0.025
140 2 5  5  0.040
141 2 5  6  0.063
142 2 5  7  0.100
143 2 5  8  0.158
144 2 5  9  0.251
145 2 5 10  0.397
146 2 5 11  0.629
147 2 5 12  0.998
148 2 5 13  1.581
149 2 5 14  2.506
150 2 5 15  3.972
151 3 1  1  0.006
152 3 1  2  0.010
153 3 1  3  0.016
154 3 1  4  0.025
155 3 1  5  0.040
156 3 1  6  0.063
157 3 1  7  0.100
158 3 1  8  0.158
159 3 1  9  0.251
160 3 1 10  0.397
161 3 1 11  0.629
162 3 1 12  0.998
163 3 1 13  1.581
164 3 1 14  2.506
165 3 1 15  3.972
166 3 2  1  0.006
167 3 2  2  0.010
168 3 2  3  0.016
169 3 2  4  0.025
170 3 2  5  0.040
171 3 2  6  0.063
172 3 2  7  0.100
173 3 2  8  0.158
174 3 2  9  0.251
175 3 2 10  0.397
176 3 2 11  0.629
177 3 2 12  0.998
178 3 2 13  1.581
179 3 2 14  2.506
180 3 2 15  3.972
181 3 3  1  0.006
182 3 3  2  0.010
183 3 3  3  0.016
184 3 3  4  0.025
185 3 3  5  0.040
186 3 3  6  0.063
187 3 3  7  0.100
188 3 3  8  0.158
189 3 3  9  0.251
190 3 3 10  0.397
191 3 3 11  0.629
192 3 3 12  0.998
193 3 3 13  1.581
194 3 3 14  2.506
195 3 3 15  3.972
196 3 4  1  0.006
197 3 4  2  0.010
198 3 4  3  0.016
199 3 4  4  0.025
200 3 4  5  0.040
201 3 4  6  0.063
202 3 4  7  0.100
203 3 4  8  0.158
204 3 4  9  0.251
205 3 4 10  0.397
206 3 4 11  0.629
207 3 4 12  0.998
208 3 4 13  1.581
209 3 4 14  2.506
210 3 4 15  3.972
211 3 5  1  0.006
212 3 5  2  0.010
213 3 5  3  0.016
214 3 5  4  0.025
215 3 5  5  0.040
216 3 5  6  0.063
217 3 5  7  0.100
218 3 5  8  0.158
219 3 5  9  0.251
220 3 5 10  0.397
221 3 5 11  0.629
222 3 5 12  0.998
223 3 5 13  1.581
224 3 5 14  2.506
225 3 5 15  3.972
